,registrar,enrolment_agency,age <42
0,Allahabad Bank,Tera Software Ltd,0
1,Allahabad Bank,Tera Software Ltd,1
2,Allahabad Bank,Vakrangee Softwares Limited,1
3,Allahabad Bank,Vakrangee Softwares Limited,0
4,Allahabad Bank,Vakrangee Softwares Limited,1
5,Allahabad Bank,Vakrangee Softwares Limited,1
6,Allahabad Bank,Vakrangee Softwares Limited,1
7,Allahabad Bank,Vakrangee Softwares Limited,1
8,Allahabad Bank,Vakrangee Softwares Limited,1
9,Allahabad Bank,Vakrangee Softwares Limited,1
10,Allahabad Bank,Vakrangee Softwares Limited,0
11,Allahabad Bank,Vakrangee Softwares Limited,0
12,Allahabad Bank,Vakrangee Softwares Limited,0
13,Allahabad Bank,Vakrangee Softwares Limited,1
14,Allahabad Bank,Vakrangee Softwares Limited,1
15,Allahabad Bank,Vakrangee Softwares Limited,0
16,Allahabad Bank,Vakrangee Softwares Limited,0
17,Allahabad Bank,Vakrangee Softwares Limited,1
18,Allahabad Bank,Vakrangee Softwares Limited,1
19,Allahabad Bank,Vakrangee Softwares Limited,0
20,Allahabad Bank,Vakrangee Softwares Limited,0
21,Allahabad Bank,Vakrangee Softwares Limited,1
22,Allahabad Bank,Vakrangee Softwares Limited,1
23,Allahabad Bank,Vakrangee Softwares Limited,1
24,Allahabad Bank,Vakrangee Softwares Limited,1
25,Allahabad Bank,Vakrangee Softwares Limited,1
26,Allahabad Bank,Vakrangee Softwares Limited,1
27,Allahabad Bank,Vakrangee Softwares Limited,1
28,Allahabad Bank,Vakrangee Softwares Limited,1
29,Allahabad Bank,Vakrangee Softwares Limited,1
30,Allahabad Bank,Vakrangee Softwares Limited,1
31,Allahabad Bank,Vakrangee Softwares Limited,1
32,Allahabad Bank,Vakrangee Softwares Limited,1
33,Allahabad Bank,Vakrangee Softwares Limited,1
34,Allahabad Bank,Vakrangee Softwares Limited,0
35,Allahabad Bank,Vakrangee Softwares Limited,0
36,Allahabad Bank,Vakrangee Softwares Limited,1
37,Allahabad Bank,Vakrangee Softwares Limited,1
38,Allahabad Bank,Vakrangee Softwares Limited,1
39,Allahabad Bank,Vakrangee Softwares Limited,1
40,Allahabad Bank,Vakrangee Softwares Limited,1
41,Allahabad Bank,Vakrangee Softwares Limited,1
42,Allahabad Bank,Vakrangee Softwares Limited,1
43,Allahabad Bank,Vakrangee Softwares Limited,1
44,Allahabad Bank,Vakrangee Softwares Limited,1
45,Allahabad Bank,Vakrangee Softwares Limited,1
46,Allahabad Bank,Vakrangee Softwares Limited,0
47,Allahabad Bank,Vakrangee Softwares Limited,0
48,Allahabad Bank,Vakrangee Softwares Limited,0
49,Allahabad Bank,Vakrangee Softwares Limited,0
50,Allahabad Bank,Vakrangee Softwares Limited,0
51,Allahabad Bank,Vakrangee Softwares Limited,0
52,Allahabad Bank,Vakrangee Softwares Limited,0
53,Allahabad Bank,Vakrangee Softwares Limited,0
54,Allahabad Bank,Vakrangee Softwares Limited,0
55,Allahabad Bank,Vakrangee Softwares Limited,0
56,Allahabad Bank,Vakrangee Softwares Limited,1
57,Allahabad Bank,Vakrangee Softwares Limited,1
58,Allahabad Bank,Vakrangee Softwares Limited,1
59,Allahabad Bank,Vakrangee Softwares Limited,1
60,Allahabad Bank,Vakrangee Softwares Limited,1
61,Allahabad Bank,Vakrangee Softwares Limited,1
62,Allahabad Bank,Vakrangee Softwares Limited,1
63,Allahabad Bank,Vakrangee Softwares Limited,1
64,Allahabad Bank,Vakrangee Softwares Limited,1
65,Allahabad Bank,Vakrangee Softwares Limited,1
66,Allahabad Bank,Vakrangee Softwares Limited,1
